,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
38,600519.SH,20210312,2070.0,2077.0,2002.01,2026.0,2048.0,-22.0,-1.0742,40322.51,8181594.631
39,600759.SH,20210312,2.05,2.08,2.01,2.04,2.04,0.0,0.0,598797.24,122165.53
40,600519.SH,20210311,1975.0,2079.99,1961.48,2048.0,1970.01,77.99,3.9589,56768.97,11521736.384
41,600759.SH,20210311,1.97,2.04,1.97,2.04,1.96,0.08,4.0816,558396.45,112553.831
42,600519.SH,20210310,1977.0,1999.87,1967.0,1970.01,1936.99,33.02,1.7047,51171.74,10136910.284
43,600759.SH,20210310,2.02,2.05,1.95,1.96,2.05,-0.09,-4.3902,574026.48,114544.009
44,600519.SH,20210309,1955.0,2000.0,1900.18,1936.99,1960.0,-23.01,-1.174,82265.81,16100769.579
45,600759.SH,20210309,2.11,2.12,1.97,2.05,2.18,-0.13,-5.9633,1193739.38,244196.035
46,600519.SH,20210308,2074.96,2085.0,1960.0,1960.0,2060.11,-100.11,-4.8594,63099.59,12724245.99
47,600759.SH,20210308,2.15,2.26,2.11,2.18,2.07,0.11,5.314,1656952.79,361778.762
48,600519.SH,20210305,2000.0,2095.0,1988.0,2060.11,2033.0,27.11,1.3335,63779.2,13100315.985
49,600759.SH,20210305,2.1,2.19,2.03,2.07,2.01,0.06,2.9851,1148141.47,241026.168
50,600519.SH,20210304,2095.0,2096.0,2010.1,2033.0,2140.0,-107.0,-5.0,65088.29,13297304.316
51,600759.SH,20210304,1.95,2.08,1.94,2.01,1.95,0.06,3.0769,1022659.73,206783.385
52,600519.SH,20210303,2040.0,2149.77,2033.0,2140.0,2058.0,82.0,3.9845,54215.46,11366685.429
53,600759.SH,20210303,1.9,1.95,1.88,1.95,1.91,0.04,2.0942,502766.9,96782.542
54,600519.SH,20210302,2180.0,2180.0,2033.0,2058.0,2158.0,-100.0,-4.6339,70764.5,14796698.646
55,600759.SH,20210302,1.92,1.94,1.88,1.91,1.96,-0.05,-2.551,533107.09,101836.243
56,600519.SH,20210301,2179.0,2179.0,2120.0,2158.0,2122.78,35.22,1.6591,44916.26,9686945.529
57,600759.SH,20210301,1.95,1.96,1.89,1.96,1.93,0.03,1.5544,688921.74,132686.734
58,600519.SH,20210226,2100.0,2179.95,2067.3,2122.78,2150.0,-27.22,-1.266,66525.06,14097015.494
59,600759.SH,20210226,1.93,1.96,1.89,1.93,2.01,-0.08,-3.9801,743811.46,143703.906
60,600519.SH,20210225,2209.0,2224.5,2121.21,2150.0,2189.0,-39.0,-1.7816,59726.43,12982145.755
61,600759.SH,20210225,2.07,2.13,1.98,2.01,2.0,0.01,0.5,1064515.14,217630.078
62,600519.SH,20210224,2307.99,2318.0,2160.5,2189.0,2307.0,-118.0,-5.1149,82115.78,18195034.445
63,600759.SH,20210224,2.04,2.09,1.98,2.0,2.11,-0.11,-5.2133,1284247.19,258889.266
64,600519.SH,20210223,2265.14,2344.89,2265.0,2307.0,2288.02,18.98,0.8295,57454.6,13316110.795
65,600759.SH,20210223,2.16,2.29,2.08,2.11,2.16,-0.05,-2.3148,2377136.28,514219.206
66,600519.SH,20210222,2455.0,2455.0,2278.22,2288.02,2460.0,-171.98,-6.9911,78935.47,18498777.223
67,600759.SH,20210222,1.93,2.16,1.93,2.16,1.96,0.2,10.2041,2559726.88,541039.596
68,600519.SH,20210219,2451.16,2496.66,2381.6,2460.0,2471.0,-11.0,-0.4452,59385.46,14525164.525
69,600759.SH,20210219,2.1,2.1,1.92,1.96,1.95,0.01,0.5128,1709245.16,340297.549
70,600519.SH,20210218,2587.98,2627.88,2465.0,2471.0,2601.0,-130.0,-4.9981,65912.32,16704135.269
71,600759.SH,20210218,1.95,1.95,1.95,1.95,1.77,0.18,10.1695,231488.38,45140.234
72,600519.SH,20210210,2485.0,2601.2,2485.0,2601.0,2456.43,144.57,5.8854,61370.57,15675929.714
73,600759.SH,20210210,1.65,1.85,1.64,1.77,1.68,0.09,5.3571,788617.37,138834.947
74,600519.SH,20210209,2368.8,2456.43,2350.0,2456.43,2368.8,87.63,3.6993,33296.55,7972930.045
75,600759.SH,20210209,1.59,1.75,1.59,1.68,1.59,0.09,5.6604,678581.2,113445.938
76,600519.SH,20210208,2337.0,2378.88,2313.0,2368.8,2313.0,55.8,2.4125,35785.73,8420758.625
77,600759.SH,20210208,1.57,1.61,1.55,1.59,1.58,0.01,0.6329,250174.5,39611.718
78,600519.SH,20210205,2325.0,2364.6,2291.0,2313.0,2320.85,-7.85,-0.3382,39729.06,9253566.205
79,600759.SH,20210205,1.6,1.64,1.56,1.58,1.62,-0.04,-2.4691,290719.93,46433.12
80,600519.SH,20210204,2191.0,2330.0,2191.0,2320.85,2189.91,130.94,5.9792,63851.01,14596930.188
81,600759.SH,20210204,1.65,1.65,1.56,1.62,1.65,-0.03,-1.8182,424193.69,67899.064
82,600519.SH,20210203,2150.0,2198.27,2140.0,2189.91,2145.0,44.91,2.0937,38714.15,8384049.314
